iter	Logloss
0	0.6367144041
1	0.575990025
2	0.5246581066
3	0.4845612924
4	0.4447382191
5	0.4042692547
6	0.3717590525
7	0.3499032033
8	0.3229939183
9	0.3014239782
10	0.2811052105
11	0.2609363266
12	0.2468887522
13	0.2326859583
14	0.2172990147
15	0.2049918839
16	0.1936547243
17	0.1820309313
18	0.1720060759
19	0.1630504101
20	0.1565904134
21	0.1488980643
22	0.1434605514
23	0.1359416382
24	0.1304048224
25	0.1258520537
26	0.1214356966
27	0.115947482
28	0.1118390047
29	0.1077380603
30	0.1039969529
31	0.1007100842
32	0.09732860251
33	0.09405796437
34	0.09024595309
35	0.08767249916
36	0.08395697799
37	0.08130461053
38	0.07872860341
39	0.07611514949
40	0.07418375377
41	0.07203926618
42	0.07009206844
43	0.06825338436
44	0.06669380091
45	0.06500219997
46	0.0632155515
47	0.06153944474
48	0.06010318708
49	0.05892162082
50	0.05686908432
51	0.05598968796
52	0.05502497999
53	0.05405518978
54	0.05302677275
55	0.05184916001
56	0.05095139636
57	0.05011308646
58	0.04933907714
59	0.04787579669
60	0.04727070845
61	0.04645276975
62	0.04569195796
63	0.04495876348
64	0.04391036758
65	0.04306197468
66	0.0422954167
67	0.04153149943
68	0.04091257083
69	0.04011284551
70	0.03951704955
71	0.03889697111
72	0.03833561909
73	0.03767806669
74	0.03714280189
75	0.03656477264
76	0.03595661513
77	0.03546134128
78	0.03488594369
79	0.03432981274
80	0.03379531752
81	0.03327678125
82	0.03277305712
83	0.03239678733
84	0.03191615056
85	0.0315365912
86	0.0310789573
87	0.03063247174
88	0.0302834209
89	0.02993073645
90	0.02951681765
91	0.02911398682
92	0.02877118919
93	0.02838741375
94	0.02801052226
95	0.02769554114
96	0.02733577958
97	0.02698629717
98	0.02671192869
99	0.02637680271
